site_id,name,latitude,longitude,n_connectors,max_power_kw,connector_types,operator
OPMCKAGOAIX9NOFSBUXT,QWELLO - Calle Juan Antonio Zenón 90,40.28838,-4.020607,0,,Unknown,Unknown
JN6XIVNDB9NVK1KIDMSB,Petrem Eco Moli,42.26667,2.9736338,0,,Unknown,Unknown
VEMOQVJHAMQ6RNLG2KAU,PETRO UVE LAVADERO,36.911285,-6.0837336,0,,Unknown,Unknown
6I93NNS0EZPXLBAPEMIX,PARKING CENTRO,37.25845,-6.95736,0,,Unknown,Unknown
C2JBB8PHHIZSBOSJMKGB,ESTACION SERVICIO MIRALBUENO S.L,41.663418,-0.930423,0,,Unknown,Unknown
FUDJDVLFFSCCF8DFJXUN,E-A-Cox-005,38.151264,-0.88924,0,,Unknown,Unknown
RO8WLYZARUEN3F9ZEF24,A-BENIDORM-010,38.557034,-0.167166,0,,Unknown,Unknown
FXP2LBZCFNUG0BF5ZJK9,M-BoadillaDelMonte-031,40.40237,-3.89456,0,,Unknown,Unknown
2024006655,B-HospitaletdeLlobregat-003,41.35569,2.098309,0,,Unknown,Unknown
3DHZFESSFBF8YHGAKWOL,E-A-Orihuela-025,37.93353,-0.768477,0,,Unknown,Unknown
2024004802,AB-Albacete-014,39.009594,-1.877909,0,,Unknown,Unknown
E1QW7A56Q17KZWRQLC7E,E-VI-VitoriaGasteiz-030,42.850433,-2.677243,0,,Unknown,Unknown
48JHEMGO7EB896CNZBZL,E-A-Finestrat-007,38.536633,-0.180254,0,,Unknown,Unknown
2024006680,E-IB-SantJosepDeSaTalaia-002,38.902428,1.396398,0,,Unknown,Unknown
2024002187,AB-ALBACETE-013,39.00926,-1.876648,0,,Unknown,Unknown
2024004785,E-A-Orihuela-020,38.08453,-0.967868,0,,Unknown,Unknown
2024004931,A-ALTEA-005,38.630924,-0.001601,0,,Unknown,Unknown
2024004746,A-Almoradi-001,38.116444,-0.787877,0,,Unknown,Unknown
2024004799,AL-ELEJIDO-007,36.69964,-2.790667,0,,Unknown,Unknown
2024004798,E-A-Altea-010,38.574444,-0.07441,0,,Unknown,Unknown
2024006677,E-A-Elche/Elx-014,38.26081,-0.65899,0,,Unknown,Unknown
2024004987,E-BA-Badajoz-004,38.874916,-6.953651,0,,Unknown,Unknown
2024000930,B-MontcadaiReixac-002,41.50852,2.187016,0,,Unknown,Unknown
2024004730,A-Denia-006,38.36301,-0.465481,0,,Unknown,Unknown
2024004795,E-A-Alcoy/Alcoi-015,38.684834,-0.489694,0,,Unknown,Unknown
2024002066,B-Manresa-006,41.723625,1.848812,0,,Unknown,Unknown
2024002150,E-A-Castalla-001,38.59652,-0.667671,0,,Unknown,Unknown
2024004714,AL-Aguadulce-001,36.818264,-2.5976,0,,Unknown,Unknown
2024002243,E-A-Orihuela-009,37.910774,-0.740454,0,,Unknown,Unknown
2024002034,E-A-Orihuela-005,37.933033,-0.726847,0,,Unknown,Unknown
7MXNRZJ8FXNGD6RBSPMQ,A-Denia-002,38.845665,0.114363,0,,Unknown,Unknown
H7VQOQGXWNMITD4MZAG1,B-PALAU-SOLITAIPLEGAMANS-002,41.589237,2.178051,0,,Unknown,Unknown
QSYTHQ94KIZ9LZRXPBC3,GI-PontDeMolins-003,42.31942,2.930903,0,,Unknown,Unknown
5YWUHEG7LYAVRMY9YU2N,E-L-Lleida-009,41.61359,0.633022,0,,Unknown,Unknown
180DLRPBO4XQ7CLCWF74,E-SE-Sevilla-037,37.39229,-5.9486,0,,Unknown,Unknown
2XMQUDSZEZGXF4VASDZE,Zona Bureau Vallée,41.228283,1.739604,0,,Unknown,Unknown
BRWFRZXUPCTYJRWTV1OY,Alcazaba Vive Lagoon Restaurant,36.41467,-5.2251544,0,,Unknown,Unknown
XDJ1NXTBXUHKPZ1WHZ5F,E.S. Buñuel,41.975437,-1.4400162,0,,Unknown,Unknown
LPJYQQUFOF9NM33OCQIA,FAST Corhyund,37.90227,-4.72421,0,,Unknown,Unknown
8YI6DDECSZGBM081C2ZU,FAST Carlisto,40.923546,-4.1123247,0,,Unknown,Unknown
DXSHHJAEKCMT6B9XTYL3,FAST Golf Valderrama,36.282524,-5.326921,0,,Unknown,Unknown
6H5MGC76P36O7RNZBYXV,FAST Novomóvil Oleiros,43.32192,-8.31828,0,,Unknown,Unknown
YFTGIYQPT115I7QPNGG4,Ferrero Tennis Academy,38.667793,-0.9054229,0,,Unknown,Unknown
QIXNVIOVTI4V10EGP79B,FAST Hotel Segovia Sierra de Guadarrama,40.775005,-4.2081513,0,,Unknown,Unknown
4XYITSMUIZ32RLW9NJQ4,FAST La Vida Pádel,40.53685,-3.61523,0,,Unknown,Unknown
XCO2D8UNGTRO1WYT5WKB,Flow Pádel Club,39.520065,-0.4648493,0,,Unknown,Unknown
5SUKUA4XKX9RJQBHB1SD,Golf Terramar,41.227116,1.782161,0,,Unknown,Unknown
EAOKECQEJ61CRRGRMKLI,Hyundai Almerialva,36.891556,-2.4456482,0,,Unknown,Unknown
